Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
1_step_avg1,1,177,191,797,0.182,0.295,30,7.59,6.46
1_step_avg1,2,144,164,420,0.255,0.364,30,9.13,6.12
1_step_avg1,3,116,132,266,0.304,0.380,30,10.76,5.88
1_step_avg2,1,138,153,398,0.257,0.362,30,9.48,5.72
1_step_avg2,2,119,134,291,0.290,0.372,30,10.47,6.17
1_step_avg2,3,106,122,208,0.338,0.390,30,12.32,6.10
1_step_avg3,1,124,143,80,0.608,0.575,30,10.50,6.28
1_step_avg3,2,116,138,60,0.659,0.574,30,10.06,6.04
1_step_avg3,3,109,132,55,0.665,0.555,30,10.29,6.17
1_step_avg4,1,119,137,45,0.726,0.609,30,11.47,6.55
1_step_avg4,2,116,135,38,0.753,0.607,30,11.07,6.62
1_step_avg4,3,111,131,33,0.771,0.595,30,10.76,6.73
1_step_avg5,1,115,135,37,0.757,0.604,30,12.91,7.26
1_step_avg5,2,110,129,30,0.786,0.598,30,12.64,7.11
1_step_avg5,3,99,119,21,0.825,0.569,30,12.36,7.21
2_steps_avg1,1,106,120,1045,0.092,0.154,30,14.65,6.78
2_steps_avg1,2,77,86,781,0.090,0.142,30,16.33,6.96
2_steps_avg1,3,57,62,557,0.093,0.135,30,18.38,6.33
2_steps_avg2,1,128,148,222,0.366,0.445,30,11.29,5.97
2_steps_avg2,2,122,141,148,0.452,0.492,30,11.85,6.38
2_steps_avg2,3,115,130,111,0.509,0.507,30,12.73,6.68
2_steps_avg3,1,123,146,37,0.769,0.637,30,10.17,6.24
2_steps_avg3,2,116,138,36,0.763,0.611,30,9.73,6.09
2_steps_avg3,3,112,134,34,0.767,0.599,30,9.68,6.53
2_steps_avg4,1,109,127,43,0.717,0.575,30,13.82,7.44
2_steps_avg4,2,107,125,33,0.764,0.583,30,13.91,7.36
2_steps_avg4,3,96,114,32,0.750,0.539,30,13.10,7.57
2_steps_avg5,1,94,114,36,0.723,0.525,30,15.61,8.29
2_steps_avg5,2,86,104,26,0.768,0.509,30,15.56,8.20
2_steps_avg5,3,86,107,22,0.796,0.515,30,14.95,8.35
3_steps_avg2,1,91,100,305,0.230,0.292,30,16.75,7.16
3_steps_avg2,2,78,85,204,0.277,0.306,30,17.22,7.20
3_steps_avg2,3,69,75,151,0.314,0.308,30,18.06,7.72
3_steps_avg3,1,121,147,41,0.747,0.627,30,10.32,7.46
3_steps_avg3,2,112,136,30,0.789,0.609,30,10.43,7.10
3_steps_avg3,3,106,130,28,0.791,0.589,30,10.65,7.40
3_steps_avg4,1,95,108,39,0.709,0.528,30,16.41,7.89
3_steps_avg4,2,94,108,38,0.712,0.525,30,16.27,8.09
3_steps_avg4,3,87,103,35,0.713,0.500,30,15.66,8.43
3_steps_avg5,1,98,123,22,0.817,0.562,30,13.66,7.02
3_steps_avg5,2,94,119,18,0.839,0.551,30,13.20,6.84
3_steps_avg5,3,95,121,17,0.848,0.557,30,13.40,7.10
