Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
3_steps_avg2,1,93,104,305,0.234,0.298,16.76,7.20,0.56
3_steps_avg2,2,78,86,206,0.275,0.305,17.39,7.20,1.04
3_steps_avg2,3,68,74,168,0.288,0.294,18.11,7.72,-0.37
3_steps_avg3,1,121,147,39,0.756,0.630,10.34,7.58,1.57
3_steps_avg3,2,112,136,32,0.778,0.607,10.28,7.14,1.07
3_steps_avg3,3,108,132,28,0.794,0.597,10.83,7.47,0.57
3_steps_avg4,1,94,107,40,0.701,0.521,16.52,7.91,-0.23
3_steps_avg4,2,90,103,42,0.682,0.501,15.90,7.86,-1.18
3_steps_avg4,3,86,102,38,0.694,0.491,15.67,8.19,-0.97
3_steps_avg5,1,96,121,22,0.814,0.553,13.57,7.17,0.25
3_steps_avg5,2,94,120,20,0.825,0.548,13.32,7.07,0.09
3_steps_avg5,3,94,120,18,0.839,0.551,13.31,7.12,-0.52
4_steps_avg1,1,49,53,926,0.050,0.081,19.18,6.77,1.58
4_steps_avg1,2,40,42,635,0.059,0.088,20.46,7.43,0.56
4_steps_avg1,3,25,25,540,0.044,0.062,20.28,7.55,-1.23
4_steps_avg2,1,124,146,48,0.721,0.622,10.11,7.44,1.97
4_steps_avg2,2,115,138,27,0.810,0.620,10.62,7.13,1.08
4_steps_avg2,3,107,130,25,0.811,0.593,10.93,7.13,1.58
4_steps_avg3,1,111,138,33,0.771,0.598,10.43,7.08,0.42
4_steps_avg3,2,101,127,23,0.815,0.574,10.38,6.61,1.27
4_steps_avg3,3,95,120,17,0.848,0.559,11.23,6.77,1.11
4_steps_avg4,1,97,119,33,0.746,0.537,9.71,7.43,1.72
4_steps_avg4,2,92,114,22,0.807,0.535,9.99,7.57,1.23
4_steps_avg4,3,89,111,19,0.824,0.527,11.09,7.74,0.86
4_steps_avg5,1,80,103,30,0.727,0.478,13.21,8.04,-0.34
4_steps_avg5,2,78,101,22,0.780,0.479,13.21,8.26,0.35
4_steps_avg5,3,78,100,16,0.830,0.487,13.70,8.59,0.69
5_steps_avg2,1,110,133,72,0.604,0.537,10.20,7.72,1.97
5_steps_avg2,2,101,123,45,0.692,0.539,10.56,7.80,2.57
5_steps_avg2,3,94,118,34,0.734,0.530,10.63,7.35,1.77
5_steps_avg3,1,86,104,34,0.717,0.493,13.00,7.99,0.57
5_steps_avg3,2,86,104,24,0.782,0.507,13.62,8.00,1.07
5_steps_avg3,3,78,96,24,0.765,0.473,13.98,7.83,-0.33
5_steps_avg4,1,87,111,23,0.791,0.515,10.75,7.27,-0.45
5_steps_avg4,2,84,107,16,0.840,0.511,10.87,7.31,0.59
5_steps_avg4,3,83,106,15,0.847,0.508,11.24,7.83,-0.19
5_steps_avg5,1,82,100,28,0.745,0.487,13.05,7.98,0.75
5_steps_avg5,2,80,98,24,0.769,0.483,13.34,8.17,0.22
5_steps_avg5,3,78,97,22,0.780,0.477,13.34,8.02,0.20
3_steps_v2_avg1,1,97,109,722,0.118,0.185,14.90,6.47,-0.74
3_steps_v2_avg1,2,81,93,544,0.130,0.190,15.61,6.51,-1.65
3_steps_v2_avg1,3,67,77,437,0.133,0.183,16.94,6.50,-0.64
3_steps_v2_avg2,1,124,144,72,0.633,0.588,11.38,6.34,0.64
3_steps_v2_avg2,2,112,130,60,0.651,0.560,11.09,5.56,0.29
3_steps_v2_avg2,3,106,124,36,0.746,0.573,11.65,6.15,0.03
3_steps_v2_avg3,1,112,127,44,0.718,0.585,13.39,7.70,-0.85
3_steps_v2_avg3,2,104,119,44,0.703,0.555,13.34,7.30,-0.83
3_steps_v2_avg3,3,98,113,40,0.710,0.536,13.33,7.65,-0.25
3_steps_v2_avg4,1,100,117,38,0.725,0.545,14.22,7.44,0.03
3_steps_v2_avg4,2,96,114,30,0.762,0.541,14.33,7.41,0.07
3_steps_v2_avg4,3,94,112,32,0.746,0.530,14.16,7.29,-1.01
3_steps_v2_avg5,1,82,96,50,0.621,0.454,17.61,8.25,-0.17
3_steps_v2_avg5,2,74,88,42,0.638,0.429,17.03,8.29,-0.39
3_steps_v2_avg5,3,68,78,42,0.618,0.401,15.95,8.19,-0.82
4_steps_v2_avg1,1,105,123,187,0.360,0.405,14.19,7.02,0.67
4_steps_v2_avg1,2,98,116,136,0.419,0.425,14.37,7.10,1.11
4_steps_v2_avg1,3,89,105,101,0.468,0.427,14.59,7.94,0.24
4_steps_v2_avg2,1,119,141,51,0.700,0.599,10.85,7.34,1.27
4_steps_v2_avg2,2,107,130,33,0.764,0.580,11.20,7.21,1.04
4_steps_v2_avg2,3,101,123,27,0.789,0.567,12.11,7.20,1.26
4_steps_v2_avg3,1,94,106,70,0.573,0.477,14.05,8.30,0.43
4_steps_v2_avg3,2,90,103,50,0.643,0.488,14.12,7.95,-0.66
4_steps_v2_avg3,3,85,99,37,0.697,0.486,15.07,7.69,-0.79
4_steps_v2_avg4,1,94,111,44,0.681,0.514,13.47,8.14,0.39
4_steps_v2_avg4,2,92,111,32,0.742,0.524,13.17,8.07,-0.34
4_steps_v2_avg4,3,91,110,31,0.746,0.521,13.84,8.43,-0.11
4_steps_v2_avg5,1,88,108,20,0.815,0.521,11.17,7.73,1.49
4_steps_v2_avg5,2,89,110,11,0.890,0.539,11.92,8.28,0.24
4_steps_v2_avg5,3,87,106,11,0.888,0.530,11.90,8.30,0.74
5_steps_v2_avg1,1,112,129,104,0.519,0.501,13.17,8.28,2.89
5_steps_v2_avg1,2,94,116,82,0.534,0.463,12.87,8.34,1.46
5_steps_v2_avg1,3,88,109,50,0.638,0.478,12.61,8.35,0.25
5_steps_v2_avg2,1,55,60,393,0.123,0.162,15.56,9.34,0.84
5_steps_v2_avg2,2,49,52,285,0.147,0.174,16.56,9.53,-2.69
5_steps_v2_avg2,3,45,49,227,0.165,0.179,17.04,9.04,-2.49
5_steps_v2_avg3,1,96,115,38,0.716,0.530,10.97,7.93,0.43
5_steps_v2_avg3,2,90,111,28,0.763,0.522,11.56,7.69,1.32
5_steps_v2_avg3,3,80,101,26,0.755,0.482,11.96,7.56,0.41
5_steps_v2_avg4,1,85,101,41,0.675,0.480,12.10,8.14,0.48
5_steps_v2_avg4,2,81,98,33,0.711,0.472,12.66,8.12,0.05
5_steps_v2_avg4,3,73,92,27,0.730,0.446,13.68,8.21,-0.21
5_steps_v2_avg5,1,86,107,20,0.811,0.518,11.74,7.67,-0.34
5_steps_v2_avg5,2,81,104,17,0.827,0.500,11.71,7.60,-1.32
5_steps_v2_avg5,3,80,102,12,0.870,0.503,11.91,7.94,-0.39
