zero_crossing_times_normalized
2013-08-17 16:12:58.879218902
2013-08-17 16:44:07.707478728
2013-08-17 19:34:15.181307822
2013-08-17 19:57:37.855456602
2013-08-18 05:19:34.273819760
2013-08-18 05:57:03.545851491
2013-08-18 06:51:33.300847272
2013-08-18 08:54:37.451340768
2013-08-18 09:34:48.353459211
2013-08-18 10:52:05.866162583
2013-08-18 11:20:09.749200475
2013-08-18 11:40:52.520772676
2013-08-18 12:32:21.304973685
2013-08-18 21:23:23.284251481
2013-08-18 21:50:30.003502096
2013-08-22 03:11:35.420876069
2013-08-22 05:49:03.685390995
2013-08-22 11:48:14.153889790
2013-08-22 12:22:02.550628163
2013-08-22 13:58:45.768373799
2013-08-22 15:19:58.196033416
2013-08-22 16:42:52.589589290
2013-08-22 17:04:49.120077289
2013-08-22 17:15:54.615801682
2013-08-22 18:43:51.200922649
2013-08-22 19:22:27.286238724
2013-09-16 03:46:09.545253812
2013-09-16 04:16:33.793639480
2013-09-16 06:44:57.983383779
2013-09-16 06:56:56.034843645
2013-09-16 07:46:41.597656201
2013-09-16 07:56:25.648597314
2013-09-16 09:04:41.293538685
2013-09-16 09:16:38.654291184
2013-09-16 11:06:03.280328991
2013-09-16 11:15:47.118549114
2013-09-16 12:25:26.982022874
2013-09-16 12:37:56.660012782
2013-09-16 13:32:54.333779274
2013-09-16 13:35:27.561286898
2013-09-16 14:04:30.751791927
2013-09-16 14:17:31.577845930
2013-09-16 14:45:06.776672085
2013-09-16 14:55:52.292386372
2013-09-16 17:05:40.221441799
2013-09-16 17:15:29.029194573
2013-09-16 21:34:19.995417039
2013-09-16 23:09:52.452716930
2013-09-17 06:32:29.067626333
2013-09-17 08:05:23.798872118
2013-09-17 08:44:53.488589079
2013-09-17 08:56:46.059789237
2013-09-17 10:18:23.760132909
2013-09-20 19:55:17.359759604
2013-09-20 20:27:50.384770745
2013-09-21 04:27:26.556552805
2013-09-21 06:22:28.791626639
2013-09-21 06:39:17.604430352
2013-09-21 08:26:38.643195142
2013-09-21 09:24:48.430710470
2013-09-22 00:45:34.087984726
2013-09-22 00:55:18.262570620
2013-09-22 02:05:49.106296891
2013-09-22 02:15:30.417835879
