Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
1_steps_velocity_magnetic_field_avg2,1,150,170,158,0.487,0.560,30,7.95,5.38
1_steps_velocity_magnetic_field_avg2,2,134,152,114,0.540,0.561,30,8.61,5.84
1_steps_velocity_magnetic_field_avg2,3,123,142,71,0.634,0.583,30,9.56,6.12
1_steps_velocity_magnetic_field_avg3,1,133,153,77,0.633,0.613,30,9.86,6.02
1_steps_velocity_magnetic_field_avg3,2,119,140,53,0.692,0.594,30,9.72,6.29
1_steps_velocity_magnetic_field_avg3,3,115,136,45,0.719,0.591,30,9.80,6.20
1_steps_velocity_magnetic_field_avg4,1,115,132,43,0.728,0.594,30,10.44,6.37
1_steps_velocity_magnetic_field_avg4,2,111,131,31,0.782,0.600,30,10.43,6.47
1_steps_velocity_magnetic_field_avg4,3,107,129,25,0.811,0.593,30,10.86,6.68
