Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
3_steps_avg2,1,124,153,78,0.614,0.584,7.97,6.64,0.93
3_steps_avg2,2,106,137,58,0.646,0.545,7.85,6.13,-0.25
3_steps_avg2,3,102,129,52,0.662,0.537,8.88,6.72,-0.72
3_steps_avg3,1,103,134,55,0.652,0.544,7.99,7.09,0.23
3_steps_avg3,2,90,116,38,0.703,0.510,7.92,6.56,0.09
3_steps_avg3,3,86,112,36,0.705,0.496,8.56,6.88,-0.23
3_steps_avg4,1,94,120,22,0.810,0.545,8.94,6.50,0.24
3_steps_avg4,2,92,117,18,0.836,0.541,9.07,6.02,0.55
3_steps_avg4,3,90,112,18,0.833,0.531,9.51,6.26,1.15
3_steps_avg5,1,94,126,28,0.770,0.540,8.79,6.89,0.82
3_steps_avg5,2,89,120,21,0.809,0.528,9.25,7.31,1.89
3_steps_avg5,3,86,118,18,0.827,0.520,8.52,6.78,1.30
4_steps_avg1,1,101,123,69,0.594,0.511,11.29,7.36,0.84
4_steps_avg1,2,94,120,54,0.635,0.509,11.04,7.25,1.27
4_steps_avg1,3,85,109,45,0.654,0.480,10.92,7.15,0.12
4_steps_avg2,1,98,134,60,0.620,0.514,9.18,7.14,-0.30
4_steps_avg2,2,92,127,48,0.657,0.505,8.95,6.64,0.15
4_steps_avg2,3,77,106,39,0.664,0.449,9.32,6.87,-0.22
4_steps_avg3,1,89,123,33,0.730,0.517,7.39,6.64,0.37
4_steps_avg3,2,82,114,30,0.732,0.490,7.01,6.16,-0.39
4_steps_avg3,3,84,115,24,0.778,0.508,7.97,7.11,0.69
4_steps_avg4,1,84,109,26,0.764,0.499,8.86,7.42,0.78
4_steps_avg4,2,84,110,26,0.764,0.497,9.15,7.27,0.07
4_steps_avg4,3,80,106,22,0.784,0.486,9.40,7.34,0.46
4_steps_avg5,1,82,113,20,0.804,0.502,8.39,6.94,0.65
4_steps_avg5,2,82,113,18,0.820,0.503,9.18,7.46,1.06
4_steps_avg5,3,76,107,20,0.792,0.474,8.58,6.73,0.83
5_steps_avg2,1,103,139,53,0.660,0.542,9.04,6.79,-0.25
5_steps_avg2,2,94,129,28,0.770,0.540,8.80,6.98,-0.23
5_steps_avg2,3,86,118,24,0.782,0.510,9.61,7.42,0.03
5_steps_avg3,1,92,119,24,0.793,0.538,9.53,7.99,1.29
5_steps_avg3,2,87,115,19,0.821,0.524,9.14,7.75,1.23
5_steps_avg3,3,77,107,17,0.819,0.481,8.75,6.88,1.25
5_steps_avg4,1,75,104,25,0.750,0.462,8.43,6.99,1.65
5_steps_avg4,2,71,101,23,0.755,0.445,7.85,6.45,1.12
5_steps_avg4,3,70,100,20,0.778,0.440,8.75,6.96,1.11
5_steps_avg5,1,85,114,19,0.817,0.514,8.62,7.12,2.65
5_steps_avg5,2,82,114,16,0.837,0.505,8.74,7.04,2.89
5_steps_avg5,3,77,109,17,0.819,0.478,8.97,7.08,3.06
3_steps_v2_avg1,1,119,138,93,0.561,0.546,9.68,6.78,0.13
3_steps_v2_avg1,2,102,126,74,0.580,0.515,10.29,6.83,1.21
3_steps_v2_avg1,3,94,118,60,0.610,0.497,10.96,7.39,0.14
3_steps_v2_avg2,1,120,148,64,0.652,0.594,8.32,7.12,0.38
3_steps_v2_avg2,2,108,135,52,0.675,0.567,8.26,6.66,0.89
3_steps_v2_avg2,3,98,126,40,0.710,0.540,8.61,6.57,-0.24
3_steps_v2_avg3,1,102,133,52,0.662,0.541,6.76,6.49,0.01
3_steps_v2_avg3,2,99,131,39,0.717,0.547,7.17,6.11,0.01
3_steps_v2_avg3,3,92,123,38,0.708,0.520,7.73,6.00,0.14
3_steps_v2_avg4,1,97,128,29,0.770,0.551,8.32,7.42,1.05
3_steps_v2_avg4,2,96,126,28,0.774,0.549,8.33,7.39,1.28
3_steps_v2_avg4,3,94,123,26,0.783,0.542,8.79,7.77,1.34
3_steps_v2_avg5,1,90,122,20,0.818,0.533,8.64,6.21,0.60
3_steps_v2_avg5,2,87,120,21,0.806,0.518,8.29,5.74,0.46
3_steps_v2_avg5,3,84,115,20,0.808,0.506,9.48,6.38,1.50
4_steps_v2_avg1,1,94,114,80,0.540,0.472,11.70,6.86,-0.55
4_steps_v2_avg1,2,82,103,60,0.577,0.448,11.35,6.98,-0.18
4_steps_v2_avg1,3,72,92,56,0.562,0.406,11.49,7.33,0.87
4_steps_v2_avg2,1,104,137,62,0.627,0.535,9.13,7.03,0.62
4_steps_v2_avg2,2,94,125,48,0.662,0.514,9.44,7.35,-0.12
4_steps_v2_avg2,3,79,104,45,0.637,0.448,9.64,7.70,-0.53
4_steps_v2_avg3,1,99,135,39,0.717,0.550,7.65,6.36,-0.30
4_steps_v2_avg3,2,93,127,23,0.802,0.550,8.08,6.41,1.01
4_steps_v2_avg3,3,88,122,20,0.815,0.532,8.13,6.12,0.84
4_steps_v2_avg4,1,88,117,26,0.772,0.516,8.26,7.59,-0.03
4_steps_v2_avg4,2,84,114,24,0.778,0.501,7.91,7.19,0.52
4_steps_v2_avg4,3,86,114,20,0.811,0.517,9.06,8.45,1.27
4_steps_v2_avg5,1,80,108,20,0.800,0.491,9.08,7.61,1.98
4_steps_v2_avg5,2,80,108,20,0.800,0.491,9.20,7.65,1.43
4_steps_v2_avg5,3,79,109,19,0.806,0.489,9.47,7.78,1.83
5_steps_v2_avg1,1,78,98,70,0.527,0.418,12.83,7.72,-0.71
5_steps_v2_avg1,2,70,89,58,0.547,0.395,12.62,8.03,0.36
5_steps_v2_avg1,3,65,84,51,0.560,0.379,11.74,8.18,-0.24
5_steps_v2_avg2,1,90,124,50,0.643,0.495,10.95,8.07,-0.15
