Model,Window Average Error,True Positives,In range Positives,False Positives,Precision,F1 Score,TP_mean,TP_std,TP_absolute
5_steps_v2_avg2,2,85,117,43,0.664,0.480,10.51,7.78,1.18
5_steps_v2_avg2,3,76,103,38,0.667,0.444,10.19,7.94,2.13
5_steps_v2_avg3,1,83,116,35,0.703,0.484,8.57,6.77,-1.17
5_steps_v2_avg3,2,79,111,33,0.705,0.470,9.17,7.29,-1.19
5_steps_v2_avg3,3,71,99,31,0.696,0.434,8.78,6.80,-0.25
5_steps_v2_avg4,1,81,114,21,0.794,0.492,8.24,6.31,1.69
5_steps_v2_avg4,2,82,114,20,0.804,0.498,8.98,7.15,2.29
5_steps_v2_avg4,3,79,112,21,0.790,0.483,9.36,6.91,2.03
5_steps_v2_avg5,1,78,107,22,0.780,0.477,8.72,7.19,1.73
5_steps_v2_avg5,2,76,106,20,0.792,0.472,9.12,7.50,1.91
5_steps_v2_avg5,3,76,106,20,0.792,0.471,9.30,7.40,1.66
